日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2011-06-23,2483,676,1807,504,678,116,39,80,390
2011-06-24,1559,692,867,244,392,0,15,32,184
2011-06-25,7017,3839,3178,1831,626,27,145,143,406
2011-06-26,7742,4751,2991,1626,802,70,126,227,140
2011-06-27,2185,1151,1034,545,97,2,33,126,231
2011-06-28,2222,903,1319,543,407,0,24,108,237
2011-06-29,2537,1380,1157,377,187,159,50,168,216
2011-06-30,2934,991,1943,600,816,44,39,185,259
2011-07-01,2443,1209,1234,693,165,2,19,139,216
2011-07-02,5908,3504,2404,1230,542,74,80,269,209
2011-07-03,5850,3640,2210,1216,583,36,79,178,118
2011-07-04,380,238,142,25,4,0,28,13,72
2011-07-05,2948,1040,1908,312,1209,30,26,123,208
2011-07-06,2913,1169,1744,439,675,154,51,163,262
2011-07-07,2440,1172,1268,362,485,31,59,113,218
2011-07-08,1418,569,849,255,249,80,25,40,200
2011-07-09,4810,2934,1876,976,474,46,68,149,163
2011-07-10,4230,2753,1477,826,350,37,66,76,122
2011-07-11,2624,1200,1424,624,495,5,22,135,143
2011-07-12,2582,1063,1519,553,228,256,27,120,335
2011-07-13,1934,1190,744,287,79,28,38,168,144
2011-07-14,752,316,436,24,257,94,5,6,50
2011-07-15,3420,1456,1964,622,640,270,47,184,201
2011-07-16,1085,624,461,111,151,9,48,22,120
2011-07-17,3775,2428,1347,686,396,35,56,76,98
2011-07-18,5142,3255,1887,988,546,55,72,148,78
2011-07-19,1800,1081,719,273,167,26,28,172,53
2011-07-20,2577,1193,1384,437,573,4,34,138,198
2011-07-21,1942,1152,790,329,83,56,53,159,110
2011-07-22,2242,1333,909,528,49,2,46,154,130
2011-07-23,6374,3802,2572,1200,864,74,63,203,168
2011-07-24,5058,3014,2044,1013,594,57,83,141,156
2011-07-25,2369,1390,979,549,211,22,35,80,82
2011-07-26,3104,1518,1586,655,475,72,49,153,182
2011-07-27,2651,1282,1369,584,445,55,42,118,125
2011-07-28,2857,1416,1441,603,471,93,44,92,138
2011-07-29,2603,1255,1348,554,452,67,37,102,136
2011-07-30,6657,3959,2698,1194,989,106,82,121,206
2011-07-31,5253,3204,2049,1102,581,103,66,124,73
2011-08-01,4017,2008,2009,865,741,77,44,129,153
2011-08-02,4097,2033,2064,723,863,94,54,174,156
2011-08-03,4259,2054,2205,838,947,86,54,125,155
2011-08-04,4335,1980,2355,903,971,95,57,144,185
2011-08-05,3598,1626,1972,679,1001,75,32,102,83
2011-08-06,6376,3674,2702,995,1268,116,80,118,125
2011-08-07,4233,2403,1830,746,721,132,61,68,102
2011-08-08,2615,1443,1172,467,468,83,26,67,61
2011-08-09,3355,1700,1655,712,541,88,42,140,132
2011-08-10,2216,1138,1078,446,432,54,31,48,67
2011-08-11,2970,1593,1377,549,498,104,52,72,102
2011-08-12,6282,3528,2754,1315,939,180,70,145,105
2011-08-13,8063,4969,3094,1455,1106,213,94,141,85
2011-08-14,3708,2324,1384,570,508,133,36,76,61
2011-08-15,4014,2369,1645,769,568,101,51,82,74
2011-08-16,1078,661,417,140,142,39,20,21,55
2011-08-17,4271,2401,1870,961,518,78,60,122,131
2011-08-18,3818,2075,1743,887,448,105,46,139,118
2011-08-19,3946,2029,1917,1015,488,103,40,150,121
2011-08-20,6552,4107,2445,1058,951,108,87,118,123
2011-08-21,5950,3602,2348,1318,562,122,74,160,112
2011-08-22,2670,1580,1090,511,250,96,33,89,111
2011-08-23,1152,657,495,159,151,72,14,51,48
2011-08-24,2884,1394,1490,755,257,111,54,97,216
2011-08-25,1221,461,760,383,188,81,13,18,77
2011-08-26,3431,1442,1989,1364,248,29,25,89,234
2011-08-27,9718,6084,3634,1869,1202,77,98,190,198
2011-08-28,5319,3230,2089,1178,540,32,66,111,162
2011-08-29,2979,1375,1604,1122,219,22,30,70,141
2011-08-30,3581,1182,2399,654,1414,18,39,67,207
2011-08-31,3322,827,2495,673,1222,309,24,54,213
2011-09-01,2532,804,1728,706,673,42,22,33,252
2011-09-02,414,150,264,147,74,0,2,5,36
2011-09-03,707,473,234,104,81,2,3,20,24
2011-09-04,1321,956,365,169,110,8,16,18,44
2011-09-05,473,319,154,48,8,0,2,6,90
2011-09-06,229,175,54,8,15,3,5,8,15
2011-09-07,3224,803,2421,1172,792,68,15,23,351
2011-09-08,4510,1257,3253,1274,1265,118,30,76,490
2011-09-09,5471,1053,4418,1259,2502,47,22,44,544
2011-09-10,4284,2453,1831,868,383,31,58,92,399
2011-09-11,4411,2716,1695,995,382,43,57,137,81
2011-09-12,881,574,307,128,58,0,12,56,53
2011-09-13,4926,1044,3882,709,2735,29,18,94,297
2011-09-14,3498,1360,2138,644,885,117,53,150,289
2011-09-15,2984,991,1993,715,765,9,52,87,365
2011-09-16,3585,999,2586,1527,623,1,21,84,330
2011-09-17,1051,709,342,121,151,14,9,18,29
2011-09-18,1563,1059,504,219,163,16,16,24,66
2011-09-19,5662,3395,2267,1308,575,54,76,166,88
2011-09-20,2874,1131,1743,754,638,2,26,104,219
2011-09-21,4018,779,3239,972,1854,14,21,131,247
2011-09-22,955,468,487,194,143,3,19,50,78
2011-09-23,5247,3165,2082,1202,521,47,62,175,75
2011-09-24,6536,3699,2837,1583,753,41,56,183,221
2011-09-25,6849,3996,2853,1693,655,66,111,190,138
2011-09-26,4029,1091,2938,1356,1196,2,41,109,234
2011-09-27,3144,1122,2022,1137,435,0,35,147,268
2011-09-28,3730,1217,2513,1067,914,18,44,140,330
2011-09-29,3057,1147,1910,1225,260,6,33,170,216
2011-09-30,568,317,251,179,10,1,4,12,45
2011-10-01,1024,559,465,204,98,8,19,46,90
2011-10-02,1499,1033,466,241,127,11,20,31,36
2011-10-03,500,274,226,63,23,0,9,5,126
2011-10-04,1899,768,1131,714,168,17,19,75,138
2011-10-05,2706,857,1849,1094,344,6,15,130,260
2011-10-06,2272,486,1786,1217,133,52,35,34,315
2011-10-07,1033,482,551,210,146,0,12,53,130
2011-10-08,3807,2237,1570,801,418,24,59,149,119
2011-10-09,7873,4584,3289,1709,919,53,111,262,235
2011-10-10,1527,982,545,274,151,14,34,34,38
2011-10-11,1383,745,638,346,71,5,24,123,69
2011-10-12,797,385,412,259,25,0,8,36,84
2011-10-13,1463,770,693,346,95,21,42,109,80
2011-10-14,2028,733,1295,495,501,15,28,117,139
2011-10-15,1351,871,480,214,119,10,47,32,58
2011-10-16,1738,1120,618,367,129,13,38,25,46
2011-10-17,1280,477,803,436,221,0,11,85,50
2011-10-18,826,245,581,368,25,3,4,35,146
2011-10-19,1603,826,777,547,9,12,26,82,101
2011-10-20,1298,771,527,249,20,30,33,150,45
2011-10-21,1726,843,883,361,225,12,30,175,80
2011-10-22,1180,749,431,181,133,11,20,48,38
2011-10-23,583,372,211,48,44,13,57,1,48
2011-10-24,877,557,320,174,57,15,11,45,18
2011-10-25,232,184,48,19,5,1,6,12,5
2011-10-26,325,278,47,20,2,0,4,9,12
2011-10-27,701,475,226,59,85,2,5,49,26
2011-10-28,776,494,282,137,15,44,14,53,19
2011-10-29,2698,1672,1026,573,285,12,39,60,57
2011-10-30,2772,1752,1020,630,228,30,39,46,47
2011-10-31,1369,717,652,264,281,1,16,69,21
2011-11-01,1748,852,896,430,274,23,30,109,30
2011-11-02,1307,549,758,189,262,134,15,69,89
2011-11-03,6144,3440,2704,1688,610,32,74,176,124
2011-11-04,1596,996,600,311,136,0,31,80,42
2011-11-05,866,505,361,91,107,4,16,16,127
2011-11-06,2559,1622,937,555,239,17,29,29,68
2011-11-07,658,444,214,155,16,2,9,13,19
2011-11-08,362,186,176,59,7,87,4,5,14
2011-11-09,535,316,219,96,3,80,5,14,21
2011-11-10,885,509,376,138,113,36,12,58,19
2011-11-11,977,651,326,194,15,35,12,56,14
2011-11-12,3237,1819,1418,890,269,54,28,67,110
2011-11-13,2907,1822,1085,668,282,23,34,49,29
2011-11-14,456,302,154,53,54,1,6,14,26
2011-11-15,320,249,71,42,8,0,2,11,8
2011-11-16,479,319,160,117,0,0,6,17,20
2011-11-17,190,141,49,15,5,0,2,8,19
2011-11-18,277,188,89,37,16,0,6,17,13
2011-11-19,728,434,294,98,62,20,12,11,91
2011-11-20,1254,776,478,231,88,26,26,37,70
2011-11-21,269,227,42,15,18,0,2,1,6
2011-11-22,233,183,50,12,8,4,2,10,14
2011-11-23,1725,1051,674,307,188,55,19,41,64
2011-11-24,349,281,68,23,5,13,8,8,11
2011-11-25,329,197,132,51,10,46,4,10,11
2011-11-26,1103,709,394,181,117,27,17,19,33
2011-11-27,574,412,162,88,30,6,9,15,14
2011-11-28,570,355,215,105,47,0,8,43,12
2011-11-29,309,209,100,40,18,0,5,29,8
2011-11-30,274,98,176,122,15,0,3,2,34
2011-12-01,203,136,67,22,15,0,0,13,17
2011-12-02,285,164,121,74,21,0,2,15,9
2011-12-03,532,362,170,56,36,3,9,5,61
2011-12-04,533,387,146,65,23,1,3,5,49
2011-12-05,195,155,40,13,5,0,2,2,18
2011-12-06,213,165,48,18,5,6,1,14,4
2011-12-07,209,143,66,21,1,0,3,9,32
2011-12-08,149,121,28,17,3,0,1,6,1
2011-12-09,176,148,28,16,5,0,0,5,2
2011-12-10,703,465,238,102,50,20,14,23,29
2011-12-11,672,449,223,97,38,6,15,14,53
2011-12-12,173,127,46,25,11,0,2,5,3
2011-12-13,326,174,152,84,7,0,6,12,43
2011-12-14,262,197,65,39,4,0,4,9,9
2011-12-15,187,133,54,16,0,0,3,9,26
2011-12-16,161,124,37,13,2,0,5,4,13
2011-12-17,577,403,174,57,46,1,14,15,41
2011-12-18,752,506,246,122,43,5,16,12,48
2011-12-19,351,188,163,129,3,0,8,9,14
2011-12-20,229,192,37,17,3,0,3,7,7
2011-12-21,268,200,68,40,0,0,2,12,14
2011-12-22,250,170,80,37,18,1,7,9,8
2011-12-23,544,367,177,61,41,4,6,11,54
2011-12-24,1059,804,255,86,88,19,18,16,28
2011-12-25,1205,872,333,104,110,25,15,25,54
2011-12-26,327,231,96,17,51,5,10,2,11
2011-12-27,522,294,228,75,93,6,9,7,38
2011-12-28,550,335,215,115,54,10,9,13,14
2011-12-29,0,0,0,0,0,0,0,0,0
2011-12-30,0,0,0,0,0,0,0,0,0
2011-12-31,0,0,0,0,0,0,0,0,0
2012-01-01,3449,0,3449,359,304,57,0,203,2526
2012-01-02,3446,0,3446,476,312,65,0,153,2440
2012-01-03,3998,0,3998,650,411,56,0,139,2742
2012-01-04,1033,608,425,143,174,22,25,34,27
2012-01-05,377,194,183,47,79,14,9,16,18
2012-01-06,623,333,290,136,85,12,8,21,28
2012-01-07,1187,786,401,174,125,13,21,41,27
2012-01-08,1467,928,539,242,165,30,17,23,62
2012-01-09,1495,928,567,272,179,25,20,45,26
2012-01-10,522,303,219,90,60,13,9,17,30
2012-01-11,401,196,205,61,95,10,7,8,24
2012-01-12,373,192,181,75,49,2,8,23,24
2012-01-13,516,236,280,106,125,5,7,17,20
2012-01-14,686,403,283,110,100,7,11,24,31
2012-01-15,958,620,338,178,96,8,13,6,37
2012-01-16,356,231,125,66,24,1,12,12,10
2012-01-17,247,141,106,66,3,0,5,15,17
2012-01-18,453,346,107,68,8,0,7,11,13
2012-01-19,326,207,119,69,3,3,5,16,23
2012-01-20,421,252,169,122,9,1,5,14,18
2012-01-21,952,608,344,163,72,7,24,26,52
2012-01-22,878,576,302,136,112,3,8,13,30
2012-01-23,322,150,172,23,95,1,6,5,42
2012-01-24,217,161,56,22,14,1,1,8,10
2012-01-25,257,176,81,46,3,1,6,9,16
2012-01-26,236,172,64,31,4,2,6,10,11
2012-01-27,289,173,116,79,10,4,2,12,9
2012-01-28,570,380,190,80,59,3,11,18,19
2012-01-29,947,620,327,175,90,3,11,26,22
2012-01-30,254,189,65,36,2,0,7,10,10
2012-01-31,871,251,620,385,163,1,4,13,54
2012-02-01,530,153,377,334,1,0,3,12,27
2012-02-02,206,163,43,18,10,2,4,4,5
2012-02-03,260,197,63,31,6,0,2,9,15
2012-02-04,813,524,289,128,84,23,14,18,22
2012-02-05,1515,929,586,252,197,29,18,24,66
2012-02-06,725,468,257,127,80,2,9,12,27
2012-02-07,719,426,293,189,42,2,3,18,39
2012-02-08,1115,702,413,302,23,6,8,13,61
2012-02-09,855,525,330,239,38,1,11,14,27
2012-02-10,875,444,431,337,28,1,2,3,60
2012-02-11,2329,1438,891,494,282,9,25,39,42
2012-02-12,2073,1310,763,401,252,3,30,24,53
2012-02-13,909,501,408,323,18,2,5,10,50
2012-02-14,828,431,397,286,16,2,19,31,43
2012-02-15,527,232,295,238,1,0,2,8,46
2012-02-16,671,290,381,177,145,0,7,17,35
2012-02-17,637,336,301,218,2,0,3,31,47
2012-02-18,871,564,307,156,59,5,17,26,44
2012-02-19,1961,1332,629,300,159,11,21,83,55
2012-02-20,443,327,116,53,1,1,7,30,24
2012-02-21,334,230,104,71,10,0,4,7,12
2012-02-22,405,297,108,69,2,2,8,10,17
2012-02-23,529,230,299,110,143,1,7,11,27
2012-02-24,193,150,43,16,17,0,1,5,4
2012-02-25,707,467,240,113,72,3,8,20,24
2012-02-26,1102,708,394,212,119,8,12,14,29
2012-02-27,285,238,47,32,3,0,4,3,5
2012-02-28,325,219,106,64,10,0,4,15,13
2012-02-29,460,334,126,73,9,5,6,26,7
2012-03-01,292,214,78,47,10,0,2,18,1
2012-03-02,686,222,464,170,6,246,5,8,29
2012-03-03,713,494,219,96,76,7,6,14,20
2012-03-04,1117,728,389,214,78,6,15,15,61
2012-03-05,345,264,81,36,3,0,6,7,29
2012-03-06,256,174,82,53,9,1,1,13,5
2012-03-07,440,262,178,140,2,2,6,10,18
2012-03-08,291,162,129,99,5,0,4,8,13
2012-03-09,412,291,121,89,6,1,3,13,9
2012-03-10,1384,855,529,300,123,10,24,35,37
2012-03-11,2048,1291,757,460,164,17,28,30,58
2012-03-12,357,285,72,39,9,0,6,10,8
2012-03-13,402,289,113,86,7,1,1,3,15
2012-03-14,410,301,109,54,2,0,10,9,34
2012-03-15,394,205,189,138,7,0,7,6,31
2012-03-16,552,337,215,127,7,11,10,46,14
2012-03-17,870,526,344,169,83,20,12,18,42
2012-03-18,698,441,257,116,52,11,15,7,56
2012-03-19,441,328,113,59,28,10,7,4,5
2012-03-20,606,396,210,90,72,1,11,8,28
2012-03-21,419,271,148,85,23,2,9,20,9
2012-03-22,335,179,156,84,21,19,5,7,20
2012-03-23,576,307,269,202,23,2,4,20,18
2012-03-24,431,294,137,60,33,6,13,11,14
2012-03-25,810,537,273,123,76,20,8,14,32
2012-03-26,695,423,272,106,81,15,29,22,19
2012-03-27,945,476,469,143,207,45,12,28,34
2012-03-28,1346,674,672,313,189,32,12,31,95
2012-03-29,2112,1058,1054,510,328,36,40,97,43
2012-03-30,1247,631,616,253,228,28,19,50,38
2012-03-31,483,301,182,54,72,15,10,12,19
2012-04-01,1539,927,612,339,181,18,26,28,20
2012-04-02,699,385,314,82,144,17,23,24,24
2012-04-03,355,168,187,55,60,39,9,6,18
2012-04-04,77,45,32,9,10,1,4,1,7
2012-04-05,620,355,265,136,78,7,11,10,23
2012-04-06,271,181,90,35,25,0,6,13,11
2012-04-07,991,756,235,126,66,3,5,7,28
2012-04-08,1964,1175,789,464,180,4,29,27,85
2012-04-09,281,205,76,43,0,2,3,10,18
2012-04-10,865,561,304,233,16,1,9,37,8
2012-04-11,143,102,41,21,4,0,7,4,5
2012-04-12,816,574,242,179,13,1,12,25,12
2012-04-13,418,322,96,61,2,0,8,17,8
2012-04-14,4054,2384,1670,1064,337,16,45,121,87
2012-04-15,5178,3058,2120,1378,476,35,68,73,90
2012-04-16,706,510,196,112,33,1,14,24,12
2012-04-17,204,154,50,20,11,1,1,13,4
2012-04-18,417,289,128,84,10,1,10,8,15
2012-04-19,681,476,205,110,19,6,14,38,18
2012-04-20,961,622,339,207,18,1,15,72,26
2012-04-21,5467,3199,2268,1416,434,48,94,164,112
2012-04-22,4124,2522,1602,981,324,42,69,76,110
2012-04-23,328,255,73,33,13,6,6,9,6
2012-04-24,511,341,170,77,33,1,11,33,15
2012-04-25,2108,1325,783,540,14,2,34,162,31
2012-04-26,578,304,274,54,9,153,17,17,24
2012-04-27,1142,732,410,245,14,12,17,93,29
2012-04-28,5900,3224,2676,1412,781,79,68,242,94
2012-04-29,8734,4981,3753,1925,1257,101,98,272,100
2012-04-30,11069,6388,4681,2369,1398,139,180,429,166
2012-05-01,4134,2620,1514,1005,117,60,65,210,57
2012-05-02,5597,3486,2111,1370,123,30,96,384,108
2012-05-03,5766,3368,2398,1270,721,54,105,161,87
2012-05-04,1416,881,535,225,214,24,28,25,19
2012-05-05,5008,2984,2024,994,689,88,74,108,71
2012-05-06,10192,5801,4391,2272,1236,106,167,449,161
2012-05-07,936,658,278,149,15,1,13,80,20
2012-05-08,1618,909,709,254,22,151,32,172,78
2012-05-09,1794,931,863,257,6,262,36,233,69
2012-05-10,1704,717,987,407,135,192,44,101,108
2012-05-11,1513,764,749,361,29,140,51,71,97
2012-05-12,1106,685,421,147,140,9,21,34,70
2012-05-13,4544,2699,1845,1019,521,38,61,106,100
2012-05-14,1619,970,649,429,13,31,29,96,51
2012-05-15,1116,621,495,226,23,112,22,15,97
2012-05-16,1081,252,829,53,14,631,13,24,94
2012-05-17,2451,993,1458,457,329,401,35,78,158
2012-05-18,2005,990,1015,477,122,82,40,103,191
2012-05-19,4542,2593,1949,1179,408,63,70,107,122
2012-05-20,7177,4268,2909,1803,658,58,111,167,112
2012-05-21,1939,996,943,645,45,44,26,55,128
2012-05-22,1845,946,899,548,24,60,26,92,149
2012-05-23,1330,408,922,354,26,347,13,56,126
2012-05-24,2697,986,1711,1239,108,55,30,88,191
2012-05-25,2627,945,1682,1225,43,30,55,112,217
2012-05-26,2675,1414,1261,541,277,201,49,45,148
2012-05-27,4050,2287,1763,927,243,70,55,73,395
2012-05-28,2330,1133,1197,566,460,4,25,69,73
2012-05-29,1083,353,730,356,48,177,24,31,94
2012-05-30,1829,839,990,594,3,137,39,90,127
2012-05-31,2993,1431,1562,1166,15,86,31,101,163
2012-06-01,3467,1554,1913,1337,21,262,42,81,170
2012-06-02,4430,2535,1895,954,435,25,72,165,244
2012-06-03,5963,3455,2508,1451,608,44,106,118,181
2012-06-04,2230,1256,974,406,370,4,41,82,71
2012-06-05,1919,1034,885,532,61,42,21,71,158
2012-06-06,1169,561,608,336,104,3,9,17,139
2012-06-07,1966,725,1241,737,49,233,25,38,159
2012-06-08,3117,1435,1682,1081,234,29,24,51,263
2012-06-09,4503,2143,2360,1171,405,152,72,50,510
2012-06-10,4251,2575,1676,988,425,21,54,78,110
2012-06-11,1573,890,683,368,45,84,41,61,84
2012-06-12,1695,840,855,356,305,2,17,54,121
2012-06-13,1540,639,901,222,433,2,13,70,161
2012-06-14,2275,711,1564,545,663,9,42,48,257
2012-06-15,2248,1174,1074,354,383,10,35,108,184
2012-06-16,3707,2093,1614,891,374,61,54,86,148
2012-06-17,537,373,164,63,42,6,15,10,28
2012-06-18,1528,900,628,394,83,0,23,44,84
2012-06-19,1906,717,1189,540,328,13,23,49,236
2012-06-20,654,281,373,158,144,2,13,6,50
2012-06-21,2428,524,1904,765,805,8,15,56,255
2012-06-22,2116,700,1416,587,393,189,12,55,180
2012-06-23,3309,1671,1638,952,338,34,38,50,226
2012-06-24,4990,2998,1992,1204,458,35,81,123,91
2012-06-25,1746,1026,720,387,56,12,17,87,161
2012-06-26,3227,1236,1991,718,799,100,28,97,249
2012-06-27,1930,913,1017,456,137,34,46,187,157
2012-06-28,2466,781,1685,438,914,21,22,62,228
2012-06-29,2045,865,1180,429,379,25,16,62,269
2012-06-30,4773,2519,2254,1278,479,45,66,102,284
2012-07-01,3984,2398,1586,944,430,43,49,73,47
2012-07-02,1198,666,532,384,14,2,20,37,75
2012-07-03,1892,744,1148,426,449,0,29,73,171
2012-07-04,1202,621,581,252,129,27,21,50,102
2012-07-05,1332,394,938,397,308,3,6,29,195
2012-07-06,3106,967,2139,962,858,5,22,55,237
2012-07-07,3553,1908,1645,913,378,34,61,69,190
2012-07-08,3949,2381,1568,914,370,57,54,55,118
2012-07-09,819,451,368,207,35,4,10,30,82
2012-07-10,2380,631,1749,290,1135,76,19,66,163
2012-07-11,1475,793,682,254,17,133,27,52,199
2012-07-12,307,56,251,9,117,62,2,0,61
2012-07-13,3848,1644,2204,946,807,80,35,83,253
2012-07-14,3537,1729,1808,693,391,51,221,64,388
2012-07-15,6454,3844,2610,1538,650,52,100,145,125
2012-07-16,3573,2128,1445,716,446,52,50,107,74
2012-07-17,1280,780,500,213,130,5,17,59,76
2012-07-18,1620,726,894,289,294,26,21,93,171
2012-07-19,1497,749,748,292,210,24,23,87,112
2012-07-20,1490,699,791,509,36,26,32,63,125
2012-07-21,5676,3263,2413,1114,876,76,82,119,146
2012-07-22,3898,2335,1563,851,448,51,55,95,63
2012-07-23,1456,785,671,331,148,19,17,52,104
2012-07-24,1161,608,553,214,161,7,16,47,108
2012-07-25,1103,547,556,231,69,12,13,42,189
2012-07-26,1736,803,933,308,346,42,25,92,120
2012-07-27,1700,856,844,323,327,58,17,38,81
2012-07-28,6308,3568,2740,1185,1153,99,53,71,179
2012-07-29,3033,1776,1257,555,466,84,31,49,72
2012-07-30,1795,913,882,385,309,40,20,68,60
2012-07-31,1714,821,893,347,393,47,29,35,42
2012-08-01,1045,514,531,201,183,38,20,19,70
2012-08-02,2553,1209,1344,531,503,97,31,81,101
2012-08-03,2847,1434,1413,552,622,65,31,95,48
2012-08-04,7779,4161,3618,1623,1423,102,104,156,210
2012-08-05,2512,1402,1110,437,440,38,58,54,83
2012-08-06,2484,1252,1232,452,498,70,28,65,119
2012-08-07,3730,1880,1850,823,648,67,41,147,124
2012-08-08,3194,1596,1598,772,517,99,26,95,89
2012-08-09,3412,1765,1647,708,643,48,50,110,88
2012-08-10,1660,893,767,289,314,34,20,40,70
2012-08-11,8803,5135,3668,1480,1608,151,105,182,142
2012-08-12,4852,2844,2008,962,714,86,59,105,82
2012-08-13,2393,1517,876,287,395,83,28,37,46
2012-08-14,11318,6592,4726,2340,1520,243,156,286,181
2012-08-15,8890,5304,3586,1554,1451,140,114,211,116
2012-08-16,1210,732,478,134,187,48,22,23,64
2012-08-17,3785,2082,1703,891,437,64,58,115,138
2012-08-18,9207,5487,3720,1854,1266,141,118,162,179
2012-08-19,4465,2674,1791,926,509,102,39,59,156
2012-08-20,696,408,288,65,91,61,4,8,59
2012-08-21,1520,838,682,307,122,24,37,34,158
2012-08-22,1503,822,681,328,138,53,11,45,106
2012-08-23,1665,803,862,428,183,81,20,17,133
2012-08-24,2396,971,1425,788,366,73,21,60,117
2012-08-25,8633,5312,3321,1583,1216,103,83,172,164
2012-08-26,2989,1818,1171,617,335,58,47,52,62
2012-08-27,2149,983,1166,459,507,9,11,35,145
2012-08-28,2151,765,1386,695,474,11,42,23,141
