日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2011-04-01,1905,994,911,368,239,24,32,202,46
2011-04-02,2016,1227,789,297,295,20,26,35,116
2011-04-03,1645,1100,545,245,182,30,29,41,18
2011-04-04,1952,1046,906,294,322,67,32,125,66
2011-04-05,3216,1789,1427,610,391,48,57,275,46
2011-04-06,2434,1559,875,523,81,14,32,51,174
2011-04-07,1278,874,404,207,13,4,22,127,31
2011-04-08,350,266,84,45,2,0,6,24,7
2011-04-09,4069,2614,1455,739,397,34,61,163,61
2011-04-10,5765,3667,2098,1209,436,43,77,143,190
2011-04-11,1018,737,281,152,18,2,21,75,13
2011-04-12,1043,713,330,158,20,0,26,99,27
2011-04-13,527,394,133,60,2,0,7,53,11
2011-04-14,1433,954,479,229,14,1,33,168,34
2011-04-15,1392,909,483,289,10,2,18,133,31
2011-04-16,1032,667,365,112,121,5,11,52,64
2011-04-17,1619,1160,459,193,158,15,27,33,33
2011-04-18,870,589,281,99,73,5,19,64,21
2011-04-19,1529,967,562,192,82,0,31,218,39
2011-04-20,1541,975,566,252,8,33,30,201,42
2011-04-21,578,384,194,50,35,1,16,49,43
2011-04-22,797,562,235,85,9,35,15,73,18
2011-04-23,835,545,290,77,106,12,13,24,58
2011-04-24,4954,3091,1863,873,663,54,51,164,58
2011-04-25,721,513,208,55,51,1,20,63,18
2011-04-26,1287,818,469,178,28,0,26,187,50
2011-04-27,1877,1195,682,258,23,2,32,326,41
2011-04-28,697,495,202,57,34,17,10,44,40
2011-04-29,7491,4368,3123,1331,1098,106,84,413,91
2011-04-30,16195,9417,6778,3097,2244,122,169,941,205
2011-05-01,1437,955,482,155,180,91,17,22,17
2011-05-02,829,594,235,114,28,8,18,17,50
2011-05-03,15343,9694,5649,2638,2109,148,173,401,180
2011-05-04,4085,2558,1527,622,625,79,56,88,57
2011-05-05,18782,11042,7740,3554,2710,265,258,709,244
2011-05-06,7020,4554,2466,1363,139,14,197,628,125
2011-05-07,2887,1689,1198,519,377,30,47,137,88
2011-05-08,3637,2310,1327,663,354,50,44,152,64
2011-05-09,3663,2405,1258,472,22,6,74,609,75
2011-05-10,1720,1012,708,289,96,55,29,181,58
2011-05-11,3914,2367,1547,414,44,218,138,599,134
2011-05-12,4396,2653,1743,671,41,28,142,692,169
2011-05-13,389,178,211,39,46,49,3,14,60
2011-05-14,4210,2591,1619,693,496,38,82,170,140
2011-05-15,5870,3737,2133,1062,632,73,97,170,99
2011-05-16,1682,958,724,406,12,53,20,131,102
2011-05-17,1428,836,592,271,13,93,25,117,73
2011-05-18,4019,2099,1920,858,43,374,132,327,186
2011-05-19,2600,1214,1386,546,242,219,43,127,209
2011-05-20,3277,1691,1586,976,102,126,51,166,165
2011-05-21,1601,940,661,291,223,16,28,24,79
2011-05-22,6068,3828,2240,1228,624,59,51,82,196
2011-05-23,869,607,262,117,11,4,8,48,74
2011-05-24,2213,982,1231,585,336,91,24,106,89
2011-05-25,2594,1333,1261,658,46,224,44,114,175
2011-05-26,4066,1746,2320,1556,157,116,59,231,201
2011-05-27,3941,1875,2066,1473,26,39,42,238,248
2011-05-28,3906,2381,1525,830,308,37,93,99,158
2011-05-29,3809,2270,1539,713,323,22,60,60,361
2011-05-30,3953,1904,2049,642,1031,12,64,194,106
2011-05-31,3224,1517,1707,1221,2,49,58,205,172
2011-06-01,2224,1264,960,565,25,90,42,98,140
2011-06-02,1446,681,765,395,105,34,36,73,122
2011-06-03,3506,1491,2015,1033,28,564,49,116,225
2011-06-04,3334,1775,1559,649,314,19,40,124,413
2011-06-05,8173,4808,3365,1864,819,70,117,196,299
2011-06-06,2638,1432,1206,482,402,4,45,168,105
2011-06-07,2598,1444,1154,560,206,21,47,158,162
2011-06-08,2793,1344,1449,745,44,109,55,160,336
2011-06-09,2545,1206,1339,697,155,157,16,100,214
2011-06-10,3690,1530,2160,1171,349,113,57,77,393
2011-06-11,4531,2507,2024,1196,477,20,52,96,183
2011-06-12,6051,3728,2323,1293,577,40,80,115,218
2011-06-13,1048,604,444,135,136,5,15,57,96
2011-06-14,891,391,500,166,184,26,25,27,72
2011-06-15,2657,1329,1328,704,264,4,33,124,199
2011-06-16,3273,1402,1871,909,478,21,49,181,233
2011-06-17,3914,1846,2068,782,791,46,64,150,235
2011-06-18,4415,2537,1878,1006,564,32,36,99,141
2011-06-19,7494,4821,2673,1717,557,44,70,161,124
2011-06-20,2508,1366,1142,572,222,0,33,117,198
2011-06-21,2546,1298,1248,611,199,23,38,169,208
2011-06-22,2977,1200,1777,511,671,0,29,184,382
