日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2018-09-01,5640,3163,2477,1469,391,39,87,190,301
2018-09-02,8453,5022,3431,2149,679,54,145,256,148
2018-09-03,2535,1516,1019,603,140,4,34,102,136
2018-09-04,2889,1046,1843,666,837,3,18,55,264
2018-09-05,5,0,5,0,0,0,0,0,5
2018-09-06,0,0,0,0,0,0,0,0,0
2018-09-07,0,0,0,0,0,0,0,0,0
2018-09-08,1,0,1,0,0,0,0,0,1
2018-09-09,0,0,0,0,0,0,0,0,0
2018-09-10,792,480,312,177,42,7,11,40,35
2018-09-11,1663,877,786,361,177,10,46,97,95
2018-09-12,0,0,0,0,0,0,0,0,0
2018-09-13,2339,970,1369,536,509,15,37,106,166
2018-09-14,2940,1083,1857,634,793,12,45,106,267
2018-09-15,5457,3143,2314,1509,375,48,76,173,133
2018-09-16,7690,4477,3213,2229,515,58,89,201,121
2018-09-17,7108,4066,3042,1903,624,68,108,214,125
2018-09-18,4644,1367,3277,1611,1086,3,30,154,393
2018-09-19,4428,1179,3249,1465,1106,27,46,128,477
2018-09-20,4398,1446,2952,1430,860,17,35,246,364
2018-09-21,5889,1387,4502,2099,1661,4,55,182,501
2018-09-22,1686,1071,615,310,142,17,20,55,71
2018-09-23,8149,4702,3447,2380,465,66,106,238,192
2018-09-24,5917,3504,2413,1557,390,91,108,164,103
2018-09-25,3799,1235,2564,1039,1047,5,35,126,312
2018-09-26,0,0,0,0,0,0,0,0,0
2018-09-27,4393,1387,3006,1677,536,87,106,121,479
2018-09-28,3146,807,2339,687,1134,9,22,117,370
2018-09-29,5238,3083,2155,1292,384,38,71,203,167
2018-09-30,2937,1787,1150,607,239,41,51,118,94
