日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2019-7-1,2051,1153,898,549,72,6,43,125,103
2019-7-2,2263,910,1353,468,479,30,29,125,222
2019-7-3,2322,1096,1226,378,421,27,48,106,246
2019-7-4,2549,1036,1513,476,476,220,38,121,182
2019-7-5,3629,1100,2529,992,810,335,29,99,264
2019-7-6,5725,3199,2526,1406,510,85,102,217,206
2019-7-7,6634,3952,2682,1465,634,118,145,179,141
2019-7-8,2725,1566,1159,522,253,7,45,183,149
2019-7-9,3183,1518,1665,596,438,91,47,193,300
2019-7-10,0,0,0,0,0,0,0,0,0
2019-7-11,2794,1429,1365,443,229,130,74,236,253
2019-7-12,1830,759,1071,456,413,19,18,30,135
2019-7-13,3333,2041,1292,676,318,68,61,89,80
2019-7-14,7001,4228,2773,1481,773,80,112,213,114
2019-7-15,5911,3416,2495,1253,742,165,84,164,87
2019-7-16,2373,1514,859,445,82,29,46,166,91
2019-7-17,2627,1366,1261,324,285,236,46,162,208
2019-7-18,2043,1137,906,400,144,46,37,145,134
2019-7-19,1914,931,983,419,196,93,50,89,136
2019-7-20,3091,1798,1293,625,352,34,54,109,119
2019-7-21,5573,3227,2346,1234,609,116,115,132,140
2019-7-22,2709,1667,1042,560,189,33,57,130,73
2019-7-23,2172,1307,865,472,138,13,40,115,87
2019-7-24,0,0,0,0,0,0,0,0,0
2019-7-25,2461,1398,1063,638,148,14,45,115,103
2019-7-26,2192,1181,1011,474,268,42,39,110,78
2019-7-27,5025,2095,2930,864,620,86,475,109,776
2019-7-28,4683,2799,1884,984,533,84,70,119,94
2019-7-29,3743,1903,1840,722,741,102,40,121,114
2019-7-30,2708,1395,1313,489,463,89,53,94,125
2019-7-31,2795,1329,1466,655,458,74,47,107,125
