日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2019-03-01,1370,732,638,541,15,2,6,34,40
2019-03-02,1583,1101,482,294,94,10,12,35,37
2019-03-03,3593,2264,1329,830,307,27,37,61,67
2019-03-04,1046,846,200,135,6,2,16,23,18
2019-03-05,1283,1033,250,155,10,3,10,55,17
2019-03-06,892,767,125,85,9,1,10,12,8
2019-03-07,1115,841,274,179,23,8,10,23,31
2019-03-08,848,699,149,102,7,3,4,22,11
2019-03-09,3965,2394,1571,1088,231,40,61,81,70
2019-03-10,4424,2775,1649,1078,323,63,46,83,56
2019-03-11,956,763,193,132,9,6,12,14,20
2019-03-12,3116,2004,1112,544,70,32,49,224,193
2019-03-13,0,0,0,0,0,0,0,0,0
2019-03-14,2905,1998,907,577,25,44,46,164,51
2019-03-15,2514,1653,861,583,49,35,32,142,20
2019-03-16,3266,2033,1233,629,304,99,64,76,61
2019-03-17,6495,3948,2547,1530,592,132,99,110,84
2019-03-18,3627,2442,1185,785,55,31,58,208,48
2019-03-19,4638,2805,1833,1201,148,55,73,252,104
2019-03-20,4926,2824,2102,1106,489,78,73,273,83
2019-03-21,5902,3427,2475,1528,583,95,74,128,67
2019-03-22,1760,1125,635,300,154,25,18,52,86
2019-03-23,2472,1599,873,397,255,65,28,56,72
2019-03-24,3379,2090,1289,586,450,62,42,73,76
2019-03-25,3364,1963,1401,754,325,100,53,104,65
2019-03-26,4042,2069,1973,818,682,139,52,161,121
2019-03-27,0,0,0,0,0,0,0,0,0
2019-03-28,3890,2007,1883,782,667,141,40,143,110
2019-03-29,2923,1476,1447,556,580,96,34,126,55
2019-03-30,7045,3804,3241,1648,965,190,101,236,101
2019-03-31,7571,4197,3374,1764,988,204,120,164,134
