日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2019-06-01,3994,2533,1461,893,232,21,62,141,112
2019-06-02,6971,4173,2798,1503,777,68,126,199,125
2019-06-03,5705,2804,2901,928,1406,4,82,302,179
2019-06-04,1877,955,922,548,38,3,45,157,131
2019-06-05,1044,566,478,267,15,15,31,52,98
2019-06-06,2798,1408,1390,770,39,41,63,209,268
2019-06-07,3307,1346,1961,819,287,327,37,192,299
2019-06-08,6425,3378,3047,1617,526,140,93,186,485
2019-06-09,6379,3841,2538,1485,628,52,103,152,118
2019-06-10,3222,2004,1218,558,187,16,64,200,193
2019-06-11,2967,1527,1440,581,312,42,59,218,228
2019-06-12,0,0,0,0,0,0,0,0,0
2019-06-13,2959,1372,1587,894,107,37,60,201,288
2019-06-14,4158,2040,2118,975,441,13,70,286,333
2019-06-15,4749,2759,1990,1044,434,88,66,116,242
2019-06-16,2355,1531,824,413,219,23,36,40,93
2019-06-17,878,615,263,110,40,3,21,33,56
2019-06-18,3696,1760,1936,947,442,7,78,204,258
2019-06-19,2811,1273,1538,488,296,62,66,177,449
2019-06-20,2917,1388,1529,780,193,65,53,195,243
2019-06-21,4013,1803,2210,976,604,1,48,165,416
2019-06-22,1396,816,580,230,192,18,13,33,94
2019-06-23,4918,3083,1835,949,545,56,64,120,101
2019-06-24,3476,1901,1575,773,267,6,64,230,235
2019-06-25,3584,1509,2075,553,838,17,62,330,275
2019-06-26,0,0,0,0,0,0,0,0,0
2019-06-27,3573,1545,2028,832,320,220,66,241,349
2019-06-28,3514,1536,1978,667,697,15,131,112,356
2019-06-29,5334,3062,2272,1287,548,76,49,136,176
2019-06-30,5693,3374,2319,1269,567,60,101,200,122
