日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外
2019-04-01,3935,2057,1878,856,603,116,66,165,72
2019-04-02,2633,1253,1380,582,490,72,53,118,65
2019-04-03,4153,2015,2138,809,904,97,64,185,79
2019-04-04,6800,3092,3708,1634,1188,158,113,486,129
2019-04-05,1837,918,919,337,342,72,33,72,63
2019-04-06,4259,2583,1676,879,485,61,60,101,90
2019-04-07,7479,4283,3196,1893,875,81,95,158,94
2019-04-08,0,0,0,0,0,0,0,0,0
2019-04-09,0,0,0,0,0,0,0,0,0
2019-04-10,0,0,0,0,0,0,0,0,0
2019-04-11,0,0,0,0,0,0,0,0,0
2019-04-12,0,0,0,0,0,0,0,0,0
2019-04-13,11738,6882,4856,3004,1055,108,192,344,153
2019-04-14,11314,6639,4675,2797,1127,144,153,261,193
2019-04-15,1013,756,257,122,47,5,23,32,28
2019-04-16,3450,2357,1093,621,17,11,52,311,81
2019-04-17,5773,3720,2053,1140,38,8,116,609,142
2019-04-18,3719,2477,1242,641,48,10,71,404,68
2019-04-19,1666,1123,543,245,34,3,40,115,106
2019-04-20,5468,3414,2054,1061,501,79,89,166,158
2019-04-21,9774,5946,3828,2263,886,127,148,245,159
2019-04-22,3388,2002,1386,578,372,42,87,187,120
2019-04-23,2169,1499,670,298,40,5,56,182,89
2019-04-24,0,0,0,0,0,0,0,0,0
2019-04-25,1787,1389,398,156,40,23,26,82,71
2019-04-26,1029,670,359,108,27,24,46,66,88
2019-04-27,2227,1387,840,351,231,49,54,62,93
2019-04-28,15600,8967,6633,3266,1889,268,257,715,238
2019-04-29,18376,10407,7969,3849,2170,305,336,1014,295
2019-04-30,17310,9774,7536,3728,1994,385,286,905,238
